queue_key,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,title_track_status,candidate_title_count,double_title_candidate,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
cbc23da6-08cd-5cc9-991c-a3638f493d45,YENA,yena,solo,unknown,tier_1,true,latest,latest,LOVE CATCHER,2026-03-11,2026,album,ep,unresolved,0,false,,,,No dependable title-track signal was attached to this release row.,track list / teaser / highlight medley 등 dependable source를 확인하고 title-track를 명시적으로 보강합니다.
6a1db562-83b4-5e9d-a00f-6ea0ebfb6680,H1-KEY,h1-key,group,longtail,tier_1,true,latest,latest,LOVECHAPTER,2026-03-05,2026,album,ep,review_needed,0,false,Be full of Romantic | To. My First Love | Stuck with You | My Wish | Not Like a Movie | To. My First Love (instrumental) | Not Like a Movie (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
7c27ebee-3b8e-56c4-8b4c-b58f040b16b3,STAYC,stayc,group,core,tier_1,true,latest,latest,STAY ALIVE,2026-02-11,2026,album,album,review_needed,0,false,"MWUAH | I WANT IT (Japanese ver.) | BEBE (Japanese ver.) | POPPY (Japanese ver.) | Teddy Bear (Japanese ver.) | ASAP (Japanese ver.) | LIT | STEREOTYPE (Japanese ver.) | Tell Me Now | Satellite | Lover, Killer | Say My Name | MEOW | GPT (Japanese ver.) | Bubble (Japanese ver.) | Cheeky Icy Thang (Japanese ver.) | Stay WITH me (Japanese ver.)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
f8f95da5-91f9-53f5-bef1-fa14153369f3,KickFlip,kickflip,group,core,tier_1,true,latest,latest,"From KickFlip, To WeFlip",2026-01-20,2026,song,single,review_needed,0,false,Hyper Slide | Good Night,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
b3c07c8b-d061-5b8f-9003-8d4f9a0812ef,tripleS,triples,group,core,tier_1,true,latest,latest,msnz <Beyond Beauty>,2025-11-24,2025,album,ep,review_needed,0,false,Magic Shine New Zone | Fly Up | Cameo Love | Bubble Gum Girl | Q&A | Christmas Alone,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
3f5b6e89-0411-5e45-8561-0c1131c7f60a,aespa,aespa,group,core,tier_1,true,latest,latest,SYNK : aeXIS LINE,2025-11-17,2025,song,single,review_needed,0,false,BLUE | Ketchup and Lemonade | Tornado | GOOD STUFF,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
305b16e3-a9f8-54a5-8306-f432396cc90e,BOYNEXTDOOR,boynextdoor,group,core,tier_1,true,latest,latest,The Action,2025-10-20,2025,album,ep,review_needed,0,false,Live In Paris | Hollywood Action | JAM! | Bathroom | As Time Goes By,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
5a3a11fe-195d-50c4-a215-347eba0e018e,TWICE,twice,group,core,tier_1,true,latest,latest,TEN: The Story Goes On,2025-10-10,2025,album,album,review_needed,0,false,ME+YOU | MEEEEEE | FIX A DRINK | MOVE LIKE THAT | DECAFFEINATED | ATM | STONE COLD | CHESS | IN MY ROOM | DIVE IN,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
da4197ce-7ce3-5a60-ad58-185d842c716d,ITZY,itzy,group,core,tier_1,true,latest,latest,Collector,2025-10-08,2025,album,album,review_needed,0,false,ROCK & ROLL | I. I. Know Me | Out of season | Trigger | Wind Ride | Algorhythm (Final ver.) | No Biggie (Final ver.) | GOLD -Japanese ver.- | Imaginary Friend -Japanese ver.- | Girls Will Be Girls -Japanese ver.-,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
f52f59c6-a551-5dd2-b5b6-2c9e465f3828,tripleS,triples,group,core,tier_1,true,latest,latest,tripleS ∞! < SecretHimitsuBimil >,2025-10-01,2025,album,album,review_needed,0,false,Password | ヘッドフォン | トキメティック | TOKYO | Oshare | アンタイトル | ### (∞! Ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
